Operator,Supported,Supported_Bf16,MLLib/TemplatedGraph/Psuedo_Int8/Microkernel,MLLib/TemplatedGraph/Psuedo_Bf16/Microkernel,Kernel_Name_Int8
RandomNormalLike,FALSE,FALSE,Unknown,Unknown,
RandomUniform,FALSE,FALSE,Unknown,Unknown,
RandomUniformLike,FALSE,FALSE,Unknown,Unknown,
Reciprocal,TRUE,TRUE,MLLib,MLLib,reciprocal1d
ReduceMax,FALSE,FALSE,MLLib,MLLib,reducemax1d
ReduceMean,TRUE,TRUE,MLLib,MLLib,ReduceMean
ReduceMin,FALSE,FALSE,MLLib,MLLib,reducemin
ReduceProd,FALSE,FALSE,MLLib,MLLib,
ReduceSum,FALSE,FALSE,MLLib,MLLib,
RegexFullMatch,FALSE,FALSE,Unknown,Unknown,
Reshape,TRUE,TRUE,Pseudo,Pseudo,
Resize,TRUE,TRUE,TemplatedGraph,TemplatedGraph,
ReverseSequence,FALSE,FALSE,Unknown,Unknown,
RoiAlign,FALSE,FALSE,Unknown,Unknown,
Round,TRUE,TRUE,MLLib,MLLib,round1d
STFT,FALSE,FALSE,Unknown,Unknown,
Scan,FALSE,FALSE,Unknown,Unknown,
Scatter (deprecated),FALSE,FALSE,Unknown,Unknown,
ScatterElements,FALSE,FALSE,Unknown,Unknown,
ScatterND,FALSE,FALSE,Unknown,Unknown,
SequenceAt,FALSE,FALSE,Unknown,Unknown,
SequenceConstruct,FALSE,FALSE,Unknown,Unknown,
SequenceEmpty,FALSE,FALSE,Unknown,Unknown,
SequenceErase,FALSE,FALSE,Unknown,Unknown,
SequenceInsert,FALSE,FALSE,Unknown,Unknown,
SequenceLength,FALSE,FALSE,Unknown,Unknown,
Shape,FALSE,FALSE,Pseudo,Pseudo,
Sigmoid,TRUE,TRUE,MLLib,MLLib,sigmoid1d
Sign,TRUE,TRUE,MLLib,MLLib,sign1d
Sin,TRUE,TRUE,MLLib,MLLib,sin1d
Sinh,FALSE,FALSE,Unknown,Unknown,
Size,FALSE,FALSE,Pseudo,Pseudo,
Slice,TRUE,TRUE,TemplatedGraph,TemplatedGraph,
SpaceToDepth,FALSE,FALSE,Unknown,Unknown,
Split,FALSE,FALSE,TemplatedGRaph,TemplatedGRaph,
SplitToSequence,FALSE,FALSE,Unknown,Unknown,
Sqrt,TRUE,TRUE,MLLib,MLLib,sqrt1d
Squeeze,FALSE,FALSE,Pseudo,Pseudo,
StringConcat,FALSE,FALSE,Unknown,Unknown,
StringNormalizer,FALSE,FALSE,Unknown,Unknown,
StringSplit,FALSE,FALSE,Unknown,Unknown,
Sub,TRUE,TRUE,MLLib,MLLib,
Sum,FALSE,FALSE,Unknown,Unknown,
Tan,FALSE,FALSE,Unknown,Unknown,
Tanh,TRUE,TRUE,MLLib,MLLib,tanh1d
TfIdfVectorizer,FALSE,FALSE,Unknown,Unknown,
Tile,TRUE,FALSE,MLLib,Unknown,Tile
TopK,FALSE,FALSE,MLLib,Unknown,
Transpose,TRUE,TRUE,TemplatedGraph,TemplatedGraph,
Trilu,FALSE,FALSE,Unknown,Unknown,
Unique,FALSE,FALSE,Unknown,Unknown,
Unsqueeze,FALSE,FALSE,MLLib,MLLib,
Upsample (deprecated),FALSE,FALSE,TemplatedGraph,TemplatedGraph,
Where,FALSE,FALSE,Pseudo,Pseudo,
Xor,TRUE,FALSE,MLLib,Unknown,bitwise_xor1d
AffineGrid,FALSE,FALSE,Unknown,Unknown,
Bernoulli,FALSE,FALSE,Unknown,Unknown,
BlackmanWindow,FALSE,FALSE,Unknown,Unknown,
CastLike,FALSE,FALSE,Unknown,Unknown,
Celu,FALSE,FALSE,MLlib,MLlib,
CenterCropPad,FALSE,FALSE,Unknown,Unknown,
Clip,TRUE,TRUE,MLLib,MLLib,clip1d
DynamicQuantizeLinear,FALSE,FALSE,Unknown,Unknown,
Elu,TRUE,TRUE,MLLib,MLLib,elu1d
Gelu,FALSE,FALSE,MLLib,Unknown,Gelu
GreaterOrEqual,TRUE,TRUE,MLLib,MLLib,
GroupNormalization,FALSE,FALSE,Microkernel,Unknown,
HammingWindow,FALSE,FALSE,Unknown,Unknown,
HannWindow,FALSE,FALSE,Unknown,Unknown,
HardSigmoid,TRUE,TRUE,MLLib,MLLib,hardsigmoid1d
HardSwish,TRUE,TRUE,MLLib,MLLib,hardswish1d
LayerNormalization,FALSE,FALSE,Microkernel,MLlib,
LeakyRelu,TRUE,TRUE,MLLib,MLLib,leakyrelu1d
LessOrEqual,TRUE,TRUE,MLLib,MLLib,
LogSoftmax,FALSE,FALSE,Unknown,Unknown,
MeanVarianceNormalization,FALSE,FALSE,Unknown,Unknown,
Mish,TRUE,TRUE,MLLib,MLLib,mish1d
NegativeLogLikelihoodLoss,FALSE,FALSE,Unknown,Unknown,
