operator,occurence
Constant,826
QuantizeLinear,187
DequantizeLinear,187
Conv,56
Relu,37
MaxPool,1
Concat,16
Reshape,32
Transpose,16
Shape,13
Gather,13
Add,13
Div,13
Mul,26
Slice,26
ReduceMean,1
Gemm,1
